# MAC address prefix -> vendor name, used by lsnet.
#
# Derived from Wireshark's "manuf" database
# (https://www.wireshark.org/download/automated/data/manuf), which Wireshark
# generates from the IEEE OUI registries (https://standards-oui.ieee.org/).
# Vendor names were shortened by scripts/update-oui.py.
#
# Wireshark: Copyright 1998 Gerald Combs <gerald@wireshark.org> and contributors.
# SPDX-License-Identifier: GPL-2.0-or-later
#
# Format: one assignment per line, HEXPREFIX, a tab, then the vendor name.
# HEXPREFIX is 6, 7 or 9 hex digits (24, 28 or 36-bit assignments).
000000	Officially Xerox but 0:0
00004B	Icl Data
00004C	NEC
00004D	Dci
00004E	Ampex
00004F	Logicraft
000050	Radisys
000051	Hob Electronic Gmbh &
000052	Intrusion.com
000053	Compucorp
000054	Schneider Electric
000055	Commissariat A L`Energie
000056	Dr. B. Struck
000057	Scitex
000058	Racore Computer Products
000059	Hellige
00005A	SysKonnect
00005B	Eltec Elektronik
00005C	Telematics
00005D	Cs Telecom
00005E	ICANN IANA Department
00005F	Sumitomo Electric Indust
000060	Kontron Europe
000061	Gateway
000062	Bull Hn Information
000063	Barco Control Rooms
000064	Yokogawa Digital Compute
000065	Network General
000066	Talaris
000067	Soft * Rite
000068	Rosemount Controls
000069	Concord
00006A	Computer Consoles
00006B	Silicon Graphics
00006C	Schneider Electric
00006D	Cray
00006E	Artisoft
00006F	Madge
000070	Hcl
000071	Adra
000072	Miniware
000073	Siecor
000074	Ricoh
000075	Nortel
000076	Abekas Video System
000077	Interphase
000078	Labtam
000079	Networth
00007A	Dana Computer
00007B	Research Machines
00007C	Ampere
00007D	Oracle
00007E	Clustrix
00007F	Linotype-Hell
000080	Cray Communications A/S
000081	Bay
000082	Lectra Systemes
000083	Tadpole
000084	Supernet
000085	Canon
000086	Megahertz
000087	Hitachi
000088	Brocade
000089	Cayman
00008A	Datahouse Information
00008B	Infotron
00008C	Alloy Computer Products
00008D	Cryptek
00008E	Solbourne Computer
00008F	Raytheon
000090	Microcom
000091	Anritsu
000092	Cogent Data
000093	Proteon
000094	Asante
000095	Sony Tektronix
000096	Marconi
000097	Dell EMC
000098	Crosscomm
000099	Mtx
00009A	Rc Computer A/S
00009B	Information
00009C	Rolm Mil-Spec Computers
00009D	Locus Computing
00009E	Marli
00009F	Ameristar
0000A0	SANYO Electric
0000A1	Marquette Electric
0000A2	Bay
0000A3	Network Application
0000A4	Acorn Computers
0000A5	Tattile
0000A6	Network General
0000A7	Network Computing Device
0000A8	Stratus
0000A9	Network
0000AA	Xerox
0000AB	Logic Modeling
0000AC	Conware Computer Consult
0000AD	Bruker Instruments
0000AE	Dassault Electronique
0000AF	Canberra Industries
0000B0	Rnd-Rad Network Devices
0000B1	Alpha Micro
0000B2	Televideo
0000B3	Cimlinc
0000B4	Edimax
0000B5	Datability Software Sys
0000B6	Micro-Matic Research
0000B7	Dove Computer
0000B8	Seikosha
0000B9	Mcdonnell Douglas Comput
0000BA	Siig
0000BB	Tri-Data
0000BC	Rockwell Automation
0000BD	RYOSEI
0000BE	The Nti
0000BF	Symmetric Computer
0000C0	Western Digital
0000C1	Madge
0000C2	Information Presentation
0000C3	Harris
0000C4	Waters Div. Of Millipore
0000C5	Commscope
0000C6	Eon
0000C7	Arix
0000C8	Altos Computer
0000C9	Emulex
0000CA	Commscope
0000CB	Compu-Shack
0000CC	Densan
0000CD	Allied Telesis Labs
0000CE	Megadata
0000CF	Hayes Microcomputer Prod
0000D0	Develcon
0000D1	Adaptec
0000D2	Sbe
0000D3	Wang Laboratories
0000D4	Pure Data
0000D5	Micrognosis
0000D6	Punch Line Holding
0000D7	Dartmouth College
0000D8	Novell
0000D9	Nippon Telegraph & Telep
0000DA	Atex
0000DB	British Telecommunicatio
0000DC	Hayes Microcomputer Prod
0000DD	Tcl
0000DE	Cetia
0000DF	Bell & Howell Pub Sys Di
0000E0	Quadram
0000E1	Grid
0000E2	Acer
0000E3	Integrated Micro Product
0000E4	In2 Groupe Intertechniqu
0000E5	Sigmex
0000E6	Aptor Produits De Comm I
0000E7	Star Gate
0000E8	Accton
0000E9	Isicad
0000EA	Upnod
0000EB	Matsushita Comm. Ind
0000EC	Microprocess
0000ED	April
0000EE	Network Designers
0000EF	Kti
0000F0	Samsung
0000F1	Magna Computer
0000F2	Spider
0000F3	Gandalf Data
0000F4	Allied Telesis
0000F5	Diamond Sales
0000F6	Applied Microsystems
0000F7	Youth Keep Enterprise
0000F8	Digital Equipment
0000F9	Quotron
0000FA	Microsage Computer
0000FB	Rechner Zur Kommunikatio
0000FC	Meiko
0000FD	High Level Hardware
0000FE	Annapolis Micro
0000FF	Camtec
000100	Equip'Trans
000101	Private
000102	3Com
000103	3Com
000104	DVICO
000105	Beckhoff Automation
000106	Tews Datentechnik
000107	Leiser
000108	AVLAB
000109	Nagano Japan Radio
00010A	Cis
00010B	Space CyberLink
00010C	System Talks
00010D	Teledyne DALSA
00010E	Bri-Link
00010F	Brocade
000110	Gotham
000111	iDigm
000112	Shark Multimedia
000113	Olympus
000114	Kanda Tsushin Kogyo
000115	Extratech
000116	Netspect
000117	Canal +
000118	EZ Digital
000119	RTUnet (Australia)
00011A	Hoffmann und Burmeister
00011B	Unizone
00011C	Universal Talkware
00011D	Centillium
00011E	Precidia
00011F	RC
000120	Oscilloquartz
000121	WatchGuard
000122	Trend
000123	Schneider Electric Japan
000124	Acer
000125	Yaesu Musen
000126	PAC Labs
000127	OPEN
000128	EnjoyWeb
000129	DFI
00012A	Telematica Sistems Intel
00012B	TELENET
00012C	Aravox
00012D	Komodo
00012E	PC Partner
00012F	Twinhead
000130	Extreme
000131	Bosch Security
000132	Dranetz - BMI
000133	KYOWA Electronic Instrum
000134	Selectron
000135	KDC
000136	CyberTAN
000137	IT Farm
000138	XAVi
000139	Point Multimedia
00013A	Shelcad
00013B	Bna
00013C	Tiw
00013D	RiscStation
00013E	Ascom Tateco
00013F	Neighbor World
000140	Sendtek
000141	Cable Print
000142	Cisco
000143	Cisco
000144	Dell EMC
000145	Winsystems
000146	Tesco Controls
000147	Zhone
000148	X-traWeb
000149	Tdt
00014A	Sony
00014B	Ennovate
00014C	Berkeley Process Control
00014D	Shin Kin Enterprises
00014E	WIN Enterprises
00014F	Adtran
000150	Gilat
000151	Ensemble
000152	Chromatek
000153	Archtek Telecom
000154	G3M
000155	Promise
000156	Firewiredirect.Com
000157	Syswave
000158	Electro Industries/Gauge
000159	S1
00015A	Digital Video Broadcasti
00015B	ITALTEL S.p.A/RF-UP-I
00015C	Cadant
00015D	Oracle
00015E	Best
00015F	DIGITAL DESIGN
000160	ELMEX
000161	Meta Machine
000162	Cygnet
000163	Cisco
000164	Cisco
000165	AirSwitch
000166	Tc Group A/S
000167	Hioki E.E
000168	Vitana
000169	Celestix Networks Pte
00016A	Alitec
00016B	LightChip
00016C	Foxconn
00016D	CarrierComm
00016E	Conklin
00016F	Inkel
000170	ESE Embedded System Engi
000171	Allied Data
000172	TechnoLand
000173	Amcc
000174	CyberOptics
000175	Radiant
000176	Orient Silver Enterprise
000177	Edsl
000178	MARGI
000179	Wireless
00017A	Chengdu Maipu Electric
00017B	Heidelberger Druckmaschi
00017C	AG-E
00017D	ThermoQuest
00017E	ADTEK System Science
00017F	Experience Music Project
000180	AOpen
000181	Nortel
000182	Dica
000183	Anite Telecoms
000184	Sieb & Meyer
000185	Hitachi Aloka Medical
000186	Uwe Disch
000187	I2SE
000188	LXCO
000189	Refraction
00018A	Roi Computer
00018B	NetLinks
00018C	Mega Vision
00018D	AudeSi
00018E	Logitec
00018F	Kenetec
000190	Smk-M
000191	SYRED Data
000192	Texas Digital
000193	Hanbyul Telecom
000194	Capital Equipment
000195	Sena
000196	Cisco
000197	Cisco
000198	Darim Vision
000199	HeiSei
00019A	LEUNIG
00019B	Kyoto Microcomputer
00019C	Lumentum
00019D	E-Control
00019E	ESS
00019F	ReadyNet
0001A0	Infinilink
0001A1	Mag-Tek
0001A2	Logical
0001A3	Genesys Logic
0001A4	Microlink
0001A5	Nextcomm
0001A6	Scientific-Atlanta Arcod
0001A7	Unex
0001A8	Welltech Computer
0001A9	Bmw
0001AA	Airspan
0001AB	Main Street
0001AC	Sitara
0001AD	Coach Master Internation
0001AE	Trex Enterprises
0001AF	Artesyn Embedded
0001B0	Fulltek
0001B1	General Bandwidth
0001B2	Digital Processing
0001B3	Precision Electronic Man
0001B4	Wayport
0001B5	Turin
0001B6	SAEJIN T&M
0001B7	Centos
0001B8	Netsensity
0001B9	SKF (U.K.)
0001BA	IC-Net
0001BB	Frequentis
0001BC	Brains
0001BD	Peterson Electro-Musical
0001BE	Gigalink
0001BF	Teleforce
0001C0	CompuLab
0001C1	Vitesse Semiconductor
0001C2	ARK Research
0001C3	Acromag
0001C4	NeoWave
0001C5	Simpler
0001C6	Quarry
0001C7	Cisco
0001C8	Thomas Conrad
0001C9	Cisco
0001CA	Geocast Network
0001CB	Evr
0001CC	Brand Maker Enabler
0001CD	ARtem
0001CE	Custom Micro Products
0001CF	Alpha Data Parallel
0001D0	VitalPoint
0001D1	CoNet
0001D2	inXtron
0001D3	PAXCOMM
0001D4	Leisure Time
0001D5	Haedong Info & Comm
0001D6	manroland
0001D7	F5
0001D8	Teltronics
0001D9	Sigma
0001DA	WINCOMM
0001DB	Freecom
0001DC	Activetelco
0001DD	Avail
0001DE	Trango
0001DF	ISDN
0001E0	Fast
0001E1	Kinpo
0001E2	Ando Electric
0001E3	Siemens
0001E4	Sitera
0001E5	Supernet
0001E6	Hewlett Packard
0001E7	Hewlett Packard
0001E8	Force10
0001E9	Litton Marine
0001EA	Cirilium
0001EB	C-COM
0001EC	Ericsson
0001ED	SETA
0001EE	Comtrol Europe
0001EF	Camtel
0001F0	Tridium
0001F1	Innovative Concepts
0001F2	Mark of the Unicorn
0001F3	QPS
0001F4	Enterasys
0001F5	Erim
0001F6	Association of Musical E
0001F7	Image Display
0001F8	Texio
0001F9	TeraGlobal
0001FA	Horoscas
0001FB	DoTop
0001FC	Keyence
0001FD	Digital Voice
0001FE	Digital Equipment
0001FF	Data Direct
000200	Net & Sys
000201	IFM
000202	Amino
000203	Woonsang Telecom
000204	Bodmann Industries Elekt
000205	Hitachi Denshi
000206	Telital R&D Denmark A/S
000207	VisionGlobal Network
000208	Unify
000209	SED Information
00020A	Gefran
00020B	Native
00020C	Metro-Optix
00020D	Micronpc.com
00020E	ECI Telecom
00020F	Aatr
000210	Fenecom
000211	Nature Worldwide
000212	SierraCom
000213	S.D.E.L
000214	Dtvro
000215	Cotas Computer Technolog
000216	Cisco
000217	Cisco
000218	Advanced Scientific
000219	Paralon
00021A	Zuma
00021B	Kollmorgen-Servotronix
00021C	Network Elements
00021D	Data General Communicati
00021E	Simtel S.R.L
00021F	Aculab
000220	Canon Finetech
000221	DSP Application
000222	Chromisys
000223	ClickTV
000224	C-Cor
000225	One Stop
000226	XESystems
000227	ESD Electronic System De
000228	Necsom
000229	Adtec
00022A	Asound
00022B	SAXA
00022C	ABB Bomem
00022D	Agere
00022E	TEAC Corp. R& D
00022F	P-Cube
000230	Intersoft
000231	Ingersoll-Rand
000232	Avision
000233	Mantra
000234	Imperial
000235	Paragon
000236	INIT
000237	Cosmo Research
000238	Serome
000239	Visicom
00023A	ZSK Stickmaschinen
00023B	Ericsson
00023C	Creative
00023D	Cisco
00023E	Selta Telematica S.p.a
00023F	Compal
000240	Seedek
000241	Amer.com
000242	Videoframe
000243	Raysis
000244	SURECOM
000245	Lampus
000246	All-Win
000247	Great Dragon Information
000248	Pilz GmbH &
000249	Aviv Infocom
00024A	Cisco
00024B	Cisco
00024C	SiByte
00024D	Mannesman Dematic Colby
00024E	Datacard
00024F	IPM Datacom S.R.L
000250	Geyser
000251	Soma
000252	Carrier
000253	Televideo
000254	WorldGate
000255	IBM
000256	Alpha Processor
000257	Microcom
000258	Flying Packets
000259	Tsann Kuen China (Shangh
00025A	Catena
00025B	Cambridge Silicon Radio
00025C	SCI Systems (Kunshan)
00025D	Calix
00025E	High
00025F	Nortel
000260	Accordion
000261	Tilgin
000262	Soyo Group Soyo Com
000263	RPS S.p.A
000264	AudioRamp.com
000265	Virditech
000266	Thermalogic
000267	Node Runner
000268	Harris Government
000269	Nadatel
00026A	Cocess Telecom
00026B	BCM Computers
00026C	Philips CFT
00026D	Adept Telecom
00026E	NeGeN Access
00026F	Senao
000270	Crewave
000271	Zhone
000272	CC&C
000273	Coriolis
000274	Tommy
000275	SMART
000276	Primax
000277	Cash Systemes Industrie
000278	Samsung Electro Mechanic
000279	Control Applications
00027A	IOI
00027B	Amplify Net
00027C	Trilithic
00027D	Cisco
00027E	Cisco
00027F	ask-technologies.com
000280	Mu Net
000281	Madge
000282	ViaClix
000283	Spectrum Controls
000284	UK Grid Solutions
000285	Riverstone
000286	Occam
000287	Adapcom
000288	Global Village Communica
000289	DNE
00028A	Ambit Microsystems
00028B	VDSL
00028C	Micrel-Synergy Semicondu
00028D	Movita
00028E	Rapid 5
00028F	Globetek
000290	Woorigisool
000291	Open Network
000292	Logic Innovations
000293	Solid Data
000294	Tokyo Sokushin
000295	Mavenir Ipa Uk
000296	Lectron Co
000297	C-COR.net
000298	Broadframe
000299	Apex
00029A	Storage Apps
00029B	Kreatel
00029C	3Com
00029D	Merix
00029E	Information Equipment
00029F	L-3 Communication Aviati
0002A0	Flatstack
0002A1	World Wide Packets
0002A2	Hilscher
0002A3	Hitachi Energy Switzerla
0002A4	AddPac
0002A5	Hewlett Packard
0002A6	Effinet
0002A7	Vivace
0002A8	Air Link
0002A9	RACOM s.r.o
0002AA	PLcom
0002AB	CTC Union
0002AC	3PAR data
0002AD	HOYA
0002AE	Scannex
0002AF	TeleCruz
0002B0	Hokubu Communication &
0002B1	Anritsu
0002B2	Cablevision
0002B3	Intel
0002B4	Daphne
0002B5	Avnet
0002B6	Acrosser
0002B7	Watanabe Electric Indust
0002B8	Whi Konsult
0002B9	Cisco
0002BA	Cisco
0002BB	Continuous Computing
0002BC	LVL 7
0002BD	Bionet
0002BE	Totsu Engineering
0002BF	dotRocket
0002C0	Bencent Tzeng Industry
0002C1	Innovative Electronic De
0002C2	Net Vision Telecom
0002C3	Arelnet
0002C4	OPT Machine Vision
0002C5	Evertz Microsystems
0002C6	Data Track
0002C7	Alpsalpine Co .Ltd
0002C8	Technocom Communications
0002C9	Mellanox
0002CA	EndPoints
0002CB	TriState
0002CC	M.C.C.I
0002CD	TeleDream
0002CE	FoxJet
0002CF	ZyGate
0002D0	Comdial
0002D1	Vivotek
0002D2	Workstation
0002D3	NetBotz
0002D4	PDA Peripherals
0002D5	Acr
0002D6	NICE
0002D7	EMPEG
0002D8	BRECIS
0002D9	Reliable Controls
0002DA	ExiO
0002DB	Netsec
0002DC	GENERAL
0002DD	Bromax
0002DE	Astrodesign
0002DF	Net Com
0002E0	ETAS
0002E1	Integrated Network
0002E2	NDC Infared Engineering
0002E3	LITE-ON
0002E4	JC HYUN
0002E5	Timeware
0002E6	Gould Instrument
0002E7	CAB GmbH &
0002E8	E.D.&A
0002E9	CS Systemes De Securite
0002EA	Focus Enhancements
0002EB	Pico
0002EC	Maschoff Design Engineer
0002ED	DXO Telecom
0002EE	Nokia Danmark A/S
0002EF	CCC Network
0002F0	AME Optimedia
0002F1	Pinetron
0002F2	eDevice
0002F3	Media Serve
0002F4	PCTEL
0002F5	VIVE Synergies
0002F6	Equipe
0002F7	Arm
0002F8	SEAKR Engineering
0002F9	MIMOS Berhad
0002FA	DX Antenna
0002FB	Baumuller Aulugen-System
0002FC	Cisco
0002FD	Cisco
0002FE	Viditec
0002FF	Handan BroadInfoCom
000300	Barracuda
000301	Exfo
000302	Charles Industries
000303	JAMA
000304	Pacific Broadband
000305	MSC Vertriebs
000306	Fusion In
000307	Secure Works
000308	AM
000309	Texcel
00030A	Argus
00030B	Hunter
00030C	Telesoft
00030D	Uniwill Computer
00030E	Core
00030F	Digital China (Shanghai)
000310	E-Globaledge
000311	Micro
000312	TRsystems
000313	Access Media
000314	Teleware Network
000315	Cidco
000316	Nobell
000317	Merlin
000318	Cyras
000319	Infineon
00031A	Broad Telecom Ltd. China
00031B	Cellvision
00031C	Svenska Hardvarufabriken
00031D	Taiwan Commate Computer
00031E	Optranet
00031F	Condev
000320	Xpeed
000321	Reco Research
000322	IDIS
000323	Cornet
000324	LIMNO
000325	Arima Computer
000326	Iwasaki Information
000327	HMS
000328	Mace
000329	F3
00032A	UniData Communication
00032B	GAI Datenfunksysteme
00032C	ABB Switzerland
00032D	IBASE
00032E	Scope Information Manage
00032F	Global Sun
000330	Imagenics
000331	Cisco
000332	Cisco
000333	Digitel
000334	Omega Engineering
000335	Mirae
000336	Zetes
000337	Vaone
000338	Oak
000339	Eurologic
00033A	Silicon Wave
00033B	TAMI
00033C	Daiden
00033D	ILSHin Lab
00033E	Tateyama System Laborato
00033F	BigBand
000340	Floware Wireless
000341	EVS Broadcast Equipment
000342	Nortel
000343	Martin Professional A/S
000344	Tietech.Co
000345	Routrek
000346	KOKUSAI DENKI Electric
000347	Intel
000348	Norscan Instruments
000349	Vidicode Datacommunicati
00034A	RIAS
00034B	Nortel
00034C	DigiVision
00034D	Chiaro
00034E	Pos Data
00034F	Sur-Gard Security
000350	Bticino
000351	Diebold Nixdorf
000352	Colubris
000353	Mitac
000354	Fiber Logic
000355	TeraBeam Internet
000356	Diebold Nixdorf
000357	Intervoice-Brite
000358	Hanyang Digitech Co.Ltd
000359	DigitalSis
00035A	Photron
00035B	BridgeWave
00035C	Saint Song
00035D	Bosung Hi-Net
00035E	Metropolitan Area
00035F	Prüftechnik Condition Mo
000360	PAC Interactive
000361	Widcomm
000362	Vodtel
000363	Miraesys
000364	Scenix Semiconductor
000365	Kira Information &
000366	ASM Pacific
000367	Jasmine
000368	Embedone
000369	Nippon Antenna
00036A	Mainnet
00036B	Cisco
00036C	Cisco
00036D	Runtop
00036E	Nicon Systems (Pty)
00036F	Telsey
000370	NXTV
000371	Acomz
000372	Ulan
000373	Aselsan A.S
000374	Schneider Electric
000375	NetMedia
000376	Graphtec
000377	Gigabit Wireless
000378	HUMAX
000379	Proscend
00037A	Taiyo Yuden
00037B	IDEC IZUMI
00037C	Coax Media
00037D	Stellcom
00037E	PORTech
00037F	Atheros
000380	SSH Communications Secur
000381	Ingenico
000382	A-One
000383	Metera
000384	Aeta
000385	Actelis
000386	Ho Net
000387	Blaze Network Products
000388	Fastfame
000389	Plantronics
00038A	America Online
00038B	PLUS-ONE I&T
00038C	Total Impact
00038D	PCS Revenue Control
00038E	Atoga
00038F	Weinschel
000390	Digital Video
000391	Advanced Digital Broadca
000392	Hyundai Teletek
000393	Apple
000394	Connect One
000395	California Amplifier
000396	EZ Cast
000397	FireBrick
000398	Wisi
000399	Dongju Informations &
00039A	SiConnect
00039B	NetChip
00039C	OptiMight
00039D	Qisda
00039E	Tera System
00039F	Cisco
0003A0	Cisco
0003A1	HIPER Information & Comm
0003A2	Catapult
0003A3	MAVIX
0003A4	Imation
0003A5	Medea
0003A6	Traxit
0003A7	Unixtar
0003A8	IDOT Computers
0003A9	AXCENT Media
0003AA	Watlow
0003AB	Bridge Information
0003AC	Fronius Schweissmaschine
0003AD	Emerson Energy
0003AE	Allied Advanced Manufact
0003AF	Paragea
0003B0	Xsense
0003B1	ICU Medical
0003B2	Radware
0003B3	IA Link
0003B4	Macrotek
0003B5	Entra
0003B6	QSI
0003B7	ZACCESS
0003B8	NetKit Solutions
0003B9	Hualong Telecom
0003BA	Oracle
0003BB	Signal
0003BC	COT
0003BD	OmniCluster
0003BE	Netility
0003BF	Centerpoint Broadband
0003C0	RFTNC
0003C1	Packet Dynamics
0003C2	Solphone K.K
0003C3	Micronik Multimedia
0003C4	Tomra Systems ASA
0003C5	Mobotix
0003C6	ICUE
0003C7	hopf Elektronik
0003C8	CML Emergency Services
0003C9	TECOM
0003CA	Temposonics
0003CB	SystemGear
0003CC	Momentum Computer
0003CD	Clovertech
0003CE	ETEN
0003CF	Muxcom
0003D0	KOANKEISO
0003D1	Takaya
0003D2	Crossbeam
0003D3	Internet Energy
0003D4	Alloptic
0003D5	Advanced
0003D6	RADVision
0003D7	NextNet Wireless
0003D8	iMPath
0003D9	Secheron
0003DA	Takamisawa Cybernetics
0003DB	Apogee
0003DC	Lexar Media
0003DD	Comark Interactive Solut
0003DE	OTC Wireless
0003DF	Desana
0003E0	Commscope
0003E1	Winmate Communication
0003E2	Comspace
0003E3	Cisco
0003E4	Cisco
0003E5	Hermstedt SG
0003E6	Entone
0003E7	Logostek
0003E8	Wavesight
0003E9	Akara Canada
0003EA	Mega System
0003EB	Atrica
0003EC	ICG Research
0003ED	Shinkawa Electric
0003EE	MKNet
0003EF	Oneline
0003F0	Redfern Broadband
0003F1	Cicada Semiconductor
0003F2	Seneca
0003F3	Dazzle Multimedia
0003F4	NetBurner
0003F5	Chip2Chip
0003F6	Allegro
0003F7	Plast-Control
0003F8	SanCastle
0003F9	Pleiades
0003FA	TiMetra
0003FB	ENEGATE
0003FC	Intertex Data
0003FD	Cisco
0003FE	Cisco
0003FF	Microsoft
000400	Lexmark
000401	Osaki Electric
000402	Nexsan
000403	Nexsi
000404	Makino Milling Machine
000405	ACN
000406	Fa. Metabox
000407	Topcon Positioning
000408	Sanko
000409	Cratos
00040A	Sage
00040B	3Com Europe
00040C	Kanno Works
00040D	Avaya
00040E	AVM
00040F	Asus Network
000410	Spinnaker
000411	Inkra
000412	WaveSmith
000413	snom
000414	Umezawa Musen Denki
000415	Rasteme
000416	Parks S/A Comunicacoes D
000417	Schneider Electric
000418	Teltronic S.A.U
000419	Fibercycle
00041A	Ines Test and Measuremen
00041B	Bridgeworks
00041C	ipDialog
00041D	Corega of
00041E	Shikoku Instrumentation
00041F	Sony Interactive Enterta
000420	Slim Devices
000421	Ocular
000422	Studio
000423	Intel
000424	TMC s.r.l
000425	Atmel
000426	Autosys
000427	Cisco
000428	Cisco
000429	Pixord
00042A	Wireless
00042B	IT Access
00042C	Minet
00042D	Sarian
00042E	Netous
00042F	International Communicat
000430	Netgem
000431	GlobalStreams
000432	Voyetra Turtle Beach
000433	Cyberboard A/S
000434	Accelent
000435	InfiNet
000436	ELANsat
000437	Powin Information
000438	Nortel
000439	Rosco Entertainment
00043A	Intelligent Telecommunic
00043B	Lava Computer Mfg
00043C	SONOS
00043D	Indel
00043E	Telencomm
00043F	ESTeem Wireless Modems
000440	cyberPIXIE
000441	Half Dome
000442	Nact
000443	Agilent
000444	Western Multiplex
000445	LMS Skalar Instruments
000446	CYZENTECH
000447	Acrowave
000448	Polaroid
000449	Mapletree
00044A	iPolicy
00044B	Nvidia
00044C	Jenoptik
00044D	Cisco
00044E	Cisco
00044F	Schubert System Elektron
000450	DMD Computers
000451	Medrad
000452	RocketLogix
000453	YottaYotta
000454	Quadriga UK
000455	ANTARA.net
000456	Cambium
000457	Universal Access
000458	Fusion X
000459	Veristar
00045A	The Linksys
00045B	Techsan
00045C	Mobiwave Pte
00045D	BEKA Elektronik
00045E	PolyTrax Information
00045F	Avalue
000460	Knilink
000461	EPOX Computer
000462	DAKOS Data & Communicati
000463	Bosch Security
000464	Pulse-Link
000465	i.s.t isdn-support techn
000466	ARMITEL
000467	Wuhan Research Institute
000468	Vivity
000469	Innocom
00046A	Navini
00046B	Palm Wireless
00046C	Cyber
00046D	Cisco
00046E	Cisco
00046F	Digitel S/A Industria El
000470	ipUnplugged
000471	IPrad
000472	Telelynx
000473	Photonex
000474	Legrand
000475	3Com
000476	3Com
000477	Scalant
000478	G. Star
000479	Radius
00047A	Axxessit Asa
00047B	Schlumberger
00047C	Skidata
00047D	Motorola Solutions
00047E	TKH Security
00047F	Chr. Mayr GmbH &
000480	Brocade
000481	Econolite Control Produc
000482	Medialogic
000483	Deltron
000484	Amann
000485	PicoLight
000486	ITTC University of Kansa
000487	Cogency Semiconductor
000488	Eurotherm Controls
000489	YAFO
00048A	Temia Vertriebs
00048B	Poscon
00048C	Nayna
00048D	Teo
00048E	Ohm Tech Labs
00048F	TD
000490	Optical Access
000491	Technovision
000492	Hive Internet
000493	Tsinghua Unisplendour
000494	Breezecom
000495	Tejas Networks India
000496	Extreme
000497	MacroSystem Digital Vide
000498	Mahi
000499	Chino
00049A	Cisco
00049B	Cisco
00049C	Surgient
00049D	Ipanema
00049E	Wirelink
00049F	Freescale Semiconductor
0004A0	Verity Instruments
0004A1	Pathway Connectivity
0004A2	L.S.I. Japan
0004A3	Microchip
0004A4	NetEnabled
0004A5	Barco
0004A6	SAF Tehnika
0004A7	FabiaTech
0004A8	Broadmax
0004A9	SandStream
0004AA	Jetstream
0004AB	Mavenir
0004AC	IBM
0004AD	Malibu
0004AE	Sullair
0004AF	Digital Fountain
0004B0	ELESIGN
0004B1	Signal
0004B2	Essegi
0004B3	Videotek
0004B4	Ciac
0004B5	Equitrac
0004B6	Stratex
0004B7	AMB i.t. Holding
0004B8	Kumahira
0004B9	S.I. Soubou
0004BA	KDD Media Will
0004BB	Bardac
0004BC	Giantec
0004BD	Commscope
0004BE	OptXCon
0004BF	VersaLogic
0004C0	Cisco
0004C1	Cisco
0004C2	Magnipix
0004C3	CASTOR Informatique
0004C4	Audiotonix
0004C5	ASE
0004C6	Yamaha Motor
0004C7	NetMount
0004C8	LIBA Maschinenfabrik
0004C9	Micro Electron
0004CA	FreeMs
0004CB	Tdsoft Communication
0004CC	Peek Traffic
0004CD	Extenway Solutions
0004CE	Patria Ailon
0004CF	Seagate
0004D0	Softlink s.r.o
0004D1	Drew
0004D2	Adcon Telemetry
0004D3	Toyokeiki
0004D4	Proview
0004D5	Hitachi Information & Co
0004D6	Takagi
0004D7	Omitec Instrumentation
0004D8	IPWireless
0004D9	Titan
0004DA	Relax
0004DB	Tellus
0004DC	Nortel
